State,City,Paper Name,Website Url,County,Has PDF Edition?,PDF-Only?,Paywall?,Free Public Notices?,Mobile Responsive?,Chain Owner,CMS Vendor,Audit Sources,Audit Notes
MN,Ada,Ada - Norman County Index,,Norman,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,,
MN,Adrian,Adrian - Nobles County Review,https://www.noblescountyreview.net,Nobles,Yes,No,No,Yes,Yes,Manual Review,WordPress,Homepage,"Homepage contains e-edition style link(s): http://eedition.noblescountyreview.net/skin/entrymap/entrymap.asp | No paywall signals found | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Sauk Centre,Albany / Melrose - The Star Post,https://www.star-pub.com,Stearns,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch returned HTTP 403
MN,Albert Lea,Albert Lea Tribune,https://www.albertleatribune.com,Freeborn,Yes,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://digital.albertleatribune.com | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Alexandria,Alexandria Echo Press,https://www.echopress.com,Douglas,Yes,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): javascript:clickEpaper() | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Homepage snapshot truncated to 500,000 characters"
MN,Annandale,Annandale Advocate,https://www.annandaleadvocate.com,Wright,Yes,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS+Sitemap,"Found 11 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wp-json"
MN,Aitkin,Aitkin Independent Age,https://www.aitkinage.com,Aitkin,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /site/e-edition_how-to_aitkin.html, https://aitkinindependent-mn.newsmemory.com/, https://aitkinindependent-mn.newsmemory.com/?editionStart=Aitkin+Independent | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters"
MN,Coon Rapids,Anoka County Union Herald,https://www.hometownsource.com,Anoka,No,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters"
MN,Apple Valley,Apple Valley - Sun Thisweek,https://www.sunthisweek.com,Dakota,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS,"Homepage contains e-edition style link(s): https://sunthisweek-mn.newsmemory.com/, https://sunthisweek-mn.newsmemory.com/?editionStart=Sun+This+Week+Lakeville, https://sunthisweekburnsville-mn.newsmemory.com/?editionStart=Sun+This+Week+Burnsville | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Grove City,Atwater - Atwater-Cosmos-Grove City Tribune,https://www.acgctribune.com,Meeker,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: HTTPSConnectionPool(host='www.acgctribune.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x106823390>: Failed to resolve 'www.acgctribune.com' ([Errno 8] nodename nor servname provided, or not known)""))"
MN,Austin,Austin Daily Herald,https://www.austindailyherald.com,Mower,Yes,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://digital.austindailyherald.com/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Babbitt,Babbitt - The Weekly Wave,,St. Louis,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,,
MN,Barnesville,Barnesville Record-Review,https://www.barnesvillemn.com,Clay,No,No,Yes,No,Yes,Manual Review,WordPress,Homepage+RSS+Sitemap,"RSS present (indicates article content) | Homepage contains paywall keywords | No notices found | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Battle Lake,Battle Lake Review,https://www.fergusfallsjournal.com/battlelakereview,Otter Tail,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch returned HTTP 404
MN,Becker,Big Lake - The Sherburne County Citizen,https://www.mysherburnecountynews.com,Sherburne,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: HTTPSConnectionPool(host='www.mysherburnecountynews.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x106822c10>: Failed to resolve 'www.mysherburnecountynews.com' ([Errno 8] nodename nor servname provided, or not known)""))"
MN,Gilbert,Biwabik - The Journal,,St. Louis,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,,
MN,Blooming Prairie,Blooming Prairie - The Southern Star,https://www.bloomingprairieonline.com,Steele,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: HTTPSConnectionPool(host='www.bloomingprairieonline.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1032)')))"
MN,Eden Prairie,Bloomington - Sun Current,https://www.hometownsource.com,Hennepin,No,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters"
MN,Blue Earth,Blue Earth Area - The Faribault County Register,https://www.faribaultcountyregister.com,Faribault,No,No,Yes,Yes,Yes,Ogden,WordPress,Homepage+Heuristic:Ogden,"Chain heuristic: Ogden, not PDF-only | Chain heuristic: Ogden, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present | Detected chain indicators (Ogden): ogden newspapers | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Brainerd,Brainerd - The Brainerd Dispatch,https://www.brainerddispatch.com,Crow Wing,Yes,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://epaper.echolandshopper.com/html5/reader/production/default.aspx?pubname=&pubid=6c2f2f28-3d40-447d-9f91-6ec5bfc639a6, javascript:clickEpaper() | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Homepage snapshot truncated to 500,000 characters"
MN,Eden Prairie,Brooklyn Center / Brooklyn Park Sun Post,https://www.hometownsource.com,Hennepin,No,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters"
MN,Apple Valley,Burnsville / Eagan - Sun Thisweek,https://www.sunthisweek.com,Dakota,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS,"Homepage contains e-edition style link(s): https://sunthisweek-mn.newsmemory.com/, https://sunthisweek-mn.newsmemory.com/?editionStart=Sun+This+Week+Lakeville, https://sunthisweekburnsville-mn.newsmemory.com/?editionStart=Sun+This+Week+Burnsville | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Caledonia,Caledonia - The Argus,https://www.caledoniacourier.com,Houston,Yes,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS,Homepage contains e-edition style link(s): /e-editions | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
MN,Cloquet,Carlton - Pine Journal,https://www.pinejournal.com,Carlton,Yes,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): javascript:clickEpaper() | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Homepage snapshot truncated to 500,000 characters"
MN,Cambridge,Cambridge / North Branch - County News Review,https://www.countynewsreview.com,Isanti,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS,"Homepage contains e-edition style link(s): https://countynewsreview-mn.newsmemory.com/, https://countynewsreview-mn.newsmemory.com/?editionStart=County+News+Review, https://www.hometownsource.com/site/e-edition_how-to_county_new_review.html | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters"
MN,Chaska,Chaska - Chaska Herald,https://www.swnewsmedia.com,Carver,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Chanhassen,Chanhassen Villager,https://www.swnewsmedia.com,Carver,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Lindstrom,Chisago County Press,https://www.presspubs.com/chisago-county-press,Chisago,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch returned HTTP 404
MN,Cloquet,Cloquet - The Pine Knot,https://www.pineknotnews.com,Carlton,No,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
MN,Crosby,"Crosby - Ironton Courier, Inc. ",https://www.crosbyirontoncourer.com,Crow Wing,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: HTTPSConnectionPool(host='www.crosbyirontoncourer.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x106f665d0>: Failed to resolve 'www.crosbyirontoncourer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
MN,Litchfield,Dassel - The Enterprise Dispatch,https://www.saukherald.com,Meeker,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch returned HTTP 403
MN,Detroit Lakes,Detroit Lakes Tribune,https://www.dl-online.com,Becker,Yes,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): javascript:clickEpaper() | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Homepage snapshot truncated to 500,000 characters"
MN,Duluth,Duluth News Tribune,https://www.duluthnewstribune.com,St. Louis,Yes,No,Yes,Yes,Yes,Manual Review,Arc XP,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): javascript:clickEpaper() | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (Arc XP): thearc | Homepage snapshot truncated to 500,000 characters"
MN,Apple Valley,Eagan - Sun Thisweek,https://www.sunthisweek.com,Dakota,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS,"Homepage contains e-edition style link(s): https://sunthisweek-mn.newsmemory.com/, https://sunthisweek-mn.newsmemory.com/?editionStart=Sun+This+Week+Lakeville, https://sunthisweekburnsville-mn.newsmemory.com/?editionStart=Sun+This+Week+Burnsville | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Eden Prairie,Eden Prairie - Sun Current,https://www.hometownsource.com,Hennepin,No,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters"
MN,Elbow Lake,Elbow Lake - Grant County Herald,https://www.grantcountyherald.com,Grant,Yes,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS+Sitemap,"Found 2 PDF links on homepage | RSS present (indicates article content) | RSS feed contains paywall hints | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Elk River,Elk River Star News,https://www.swnewsmedia.com,Sherburne,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Ely,Ely Echo,https://www.elyecho.com,St. Louis,Yes,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,Homepage contains e-edition style link(s): https://publisher.etype.services/ely-echo | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
MN,Cook,Ely Timberjay,https://www.timberjay.com,St. Louis,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch returned HTTP 403
MN,Faribault,Faribault Daily News,https://www.southernminn.com,Rice,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition, /eedition/, /eedition/faribault/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters"
MN,Fergus Falls,Fergus Falls Daily Journal,https://www.fergusfallsjournal.com,Otter Tail,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/, https://www.fergusfallsjournal.com/eedition/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
