Paper Name,Website Url,City,County,State,Chain/Owner,Publication Frequency,Notes
Alexandria Gazette Packet,http://www.alexandriagazette.com/,Alexandria,Alexandria City,VA,Local Media Connection LLC (Connection Newspapers group),Weekly,"Part of regional Northern Virginia Connection group covering Arlington, Fairfax, Loudoun, Alexandria."
Alexandria Times,https://alextimes.com/,Alexandria,Alexandria City,VA,Independent (locally owned by Times Newspapers LLC),Weekly,Community paper established 2005 covering city government and business.
"Altavista Journal, The",http://www.altavistajournal.com/,Altavista,Campbell,VA,Lee Enterprises (Lynchburg News & Advance group),Weekly,Operates under The News & Advance regional network.
"Amelia Bulletin Monitor, The",http://www.ameliamonitor.com/,Amelia Court House,Amelia,VA,Independent (Amelia Bulletin Monitor Inc.),Weekly,Local family-owned paper covering Amelia County since 1973.
American Press Institute,https://americanpressinstitute.org/,Arlington,Arlington,VA,Nonprofit journalism think tank (not a newspaper),N/A,Research and training organization affiliated with News Media Alliance.
Amherst New Era-Progress,https://newsadvance.com/news/community/new-era-progress/,Amherst,Amherst,VA,Lee Enterprises (subsidiary of The News & Advance),Weekly,Community publication produced by The News & Advance newsroom in Lynchburg.
Arlington Catholic Herald,https://www.catholicherald.com/,Arlington,Arlington,VA,Catholic Diocese of Arlington,Weekly,Official newspaper of the Diocese of Arlington (faith-based).
Arlington Connection,http://www.arlingtonconnection.com/,Arlington,Arlington,VA,Local Media Connection LLC (Connection Newspapers group),Weekly,Part of Connection Newspapers chain with editions in Fairfax and Loudoun counties.
Associated Press,https://www.ap.org/,Washington,Arlington,VA,Independent cooperative news agency,Daily,National/international wire service headquartered in DC metro region.
Bedford Bulletin,https://www.bedfordbulletin.com/,Bedford,Bedford,VA,Lee Enterprises (subsidiary of The News & Advance Lynchburg),Weekly,Community weekly operated by The News & Advance newsroom under Lee Enterprises.
Blue Ridge Leader & Loudoun Today,https://blueridgeleader.com/,Leesburg,Loudoun,VA,Independent (Blue Ridge Leader Media Group LLC),Monthly/biweekly,Locally owned community paper serving western Loudoun County.
"Breeze, The",https://www.breezejmu.org/,Harrisonburg,Harrisonburg City,VA,James Madison University (student publication),Biweekly,Independent student-run news organization at JMU.
Bristol Herald Courier,https://www.heraldcourier.com/,Bristol,Washington,VA,Lee Enterprises,Daily,Regional daily covering Southwest Virginia and Northeast Tennessee.
Brunswick Times-Gazette,http://www.brunswicktimes-gazette.com/,Lawrenceville,Brunswick,VA,Independent (Brunswick Times-Gazette Inc.),Weekly,Locally owned community paper since 1876.
Burke Connection,http://www.burkeconnection.com/,Burke,Fairfax,VA,Local Media Connection LLC (Connection Newspapers group),Weekly,Part of the Northern Virginia Connection network.
C-Ville Weekly,http://www.c-ville.com/,Charlottesville,Albemarle,VA,Portico Publications Ltd.,Weekly,"Alternative newsweekly covering culture, politics, and local business."
"Cadet, The",https://cadetnewspaper.com/,Lexington,Rockbridge,VA,Virginia Military Institute (independent alumni/student-run publication),Quarterly/Online,Revived VMI newspaper now operated by The Cadet Foundation.
Cardinal News,https://cardinalnews.org/,Roanoke,Roanoke City,VA,Independent nonprofit newsroom (Cardinal News Inc.),Daily (digital),Nonprofit newsroom founded 2021 covering Southwest and Southside Virginia.
"Carroll News, The",https://www.thecarrollnews.com/,Hillsville,Carroll,VA,Champion Media LLC,Weekly,Part of regional group with titles in Virginia and North Carolina (Champion Media).
"Cavalier Daily, The",http://www.cavalierdaily.com/,Charlottesville,Albemarle,VA,University of Virginia (independent student publication),Daily (academic year),Independent UVA student-run paper established 1890.
"Central Virginian, The",http://www.thecentralvirginian.com/,Louisa,Louisa,VA,Lee Enterprises (part of Richmond Times-Dispatch regional group),Weekly,Community weekly owned by Lee Enterprises.
"Charlotte Gazette, The",https://www.thecharlottegazette.com/,Keysville,Charlotte,VA,Boone Newspapers Inc.,Weekly,Owned and operated by Boone Newspapers with sister title The Southside Messenger.
Charlottesville Tomorrow,http://www.cvilletomorrow.org/,Charlottesville,Albemarle,VA,Independent nonprofit newsroom (Charlottesville Tomorrow Inc.),Daily (digital),Nonprofit civic news organization founded 2005.
Clinch Valley News & Richlands Press,https://swvatoday.com/news/community/richland-clinch-valley/,Richlands,Tazewell,VA,Lee Enterprises (Southwest Virginia Publishing group),Weekly,"Operates under SWVAToday.com with Tazewell News, Smyth County News."
"Coalfield Progress, The",https://coalfield.com/,Norton,Wise,VA,Emory News Media / formerly under Lee Enterprises (now independent partnership),Triweekly,Regional paper serving Wise County and the City of Norton.
Collegiate Times,http://www.collegiatetimes.com/,Blacksburg,Montgomery,VA,Virginia Tech (independent student publication via Educational Media Co. at Virginia Tech),Weekly,Independent student-run news outlet founded 1903.
"Commonwealth Times, The",http://www.commonwealthtimes.org/,Richmond,Richmond City,VA,Virginia Commonwealth University Student Media Center,Weekly,Student publication covering VCU and downtown Richmond.
Cooperative Living,https://www.co-opliving.com/,Richmond,Henrico,VA,Virginia,Monthly,Magazine distributed statewide to co-op members (not a traditional newspaper).
Courier-Record,https://www.courier-record.com/,Blackstone,Nottoway,VA,Independent (Courier-Record Inc.),Weekly,Family-owned community newspaper covering Nottoway and southern Virginia since 1890s.
"Crewe-Burkeville Journal, The",https://www.thecreweburkevillejournal.com/,Crewe,Nottoway,VA,Independent (The Crewe-Burkeville Journal Inc.),Weekly,Locally owned community paper serving Crewe and Burkeville since 1898.
"Crozet Gazette, The",https://www.crozetgazette.com/,Crozet,Albemarle,VA,Independent (Crozet Gazette LLC),Monthly,Locally owned news magazine covering Crozet and western Albemarle County.
Culpeper Star-Exponent,http://www.starexponent.com/,Culpeper,Culpeper,VA,Lee Enterprises,Daily,Regional daily operated under Lee’s *Fredericksburg-Charlottesville* cluster.
Culpeper Times,http://culpepertimes.com/,Culpeper,Culpeper,VA,Rappahannock Media LLC,Biweekly,"Part of regional group also publishing InsideNoVa, Fauquier Times, Prince William Times."
Daily News-Record,http://www.dnronline.com/,Harrisonburg,Harrisonburg City,VA,Ogden Newspapers Inc.,Daily,Ogden-owned regional daily serving the Shenandoah Valley.
Daily Press,http://www.dailypress.com/,Newport News,Newport News City,VA,Hearst Communications Inc. (Daily Press Media Group / merged with Virginian-Pilot under Tribune Publishing → Alden Global Capital),Daily,Major Hampton Roads daily now under Alden’s MediaNews Group umbrella.
"Daily Progress, The",https://www.dailyprogress.com/,Charlottesville,Albemarle,VA,Lee Enterprises,Daily,Regional daily for central Virginia and flagship for Lee’s Charlottesville cluster.
Danville Register & Bee,https://www.godanriver.com/,Danville,Danville City,VA,Lee Enterprises,Daily,Operates under *GoDanRiver.com* alongside Martinsville Bulletin and Chatham Star-Tribune.
"Declaration, The",https://www.independencedeclaration.com/,Independence,Grayson,VA,Adams Publishing Group (APG Media of Southern Virginia),Weekly,Community paper for Grayson County and Independence.
"Dickenson Star, The",http://www.thecoalfieldprogress.com/dickenson_star/,Clintwood,Wise (Dickenson coverage),VA,Emory News Media / Coalfield Progress Group,Weekly,Companion paper to *Coalfield Progress* serving Dickenson County.
Eastern Shore News,https://www.delmarvanow.com/news/virginia/,Onley,Accomack,VA,Gannett Co. Inc. (DelmarvaNow Network / USA Today Network),Weekly (print),Serves Virginia’s Eastern Shore as part of Gannett’s DelmarvaNow network.
Eastern Shore Post,http://www.easternshorepost.com/content/,Onley,Accomack,VA,Independent (Eastern Shore Post LLC),Weekly,Locally owned paper covering Accomack and Northampton counties.
El Tiempo Latino,http://eltiempolatino.com/,Washington D.C. (serving VA/DC/MD),Fairfax (metro coverage),VA,Independent (Acquired 2016 by El Planeta Media / formerly Washington Post Co.),Weekly (print & digital),Spanish-language regional publication distributed throughout Northern Virginia.
"Enterprise, The",https://theenterprise.net/,South Boston,Halifax,VA,Boone Newspapers Inc.,Weekly,Part of Boone’s Southside Virginia cluster including *Charlotte Gazette* and *The Gazette-Virginian*.
Fairfax North Connection,http://www.connectionnewspapers.com/,Fairfax,Fairfax,VA,Local Media Connection LLC (Connection Newspapers group),Weekly,Edition of Connection Newspapers serving northern Fairfax County.
Fairfax South Connection,http://www.connectionnewspapers.com/,Fairfax,Fairfax,VA,Local Media Connection LLC (Connection Newspapers group),Weekly,Southern Fairfax County edition of Connection Newspapers.
Falls Church News-Press,https://fcnp.com/,Falls Church,Falls Church City,VA,Independent (Nicholas F. Benton / Benton Communications Inc.),Weekly,Founded 1991; independent local paper with strong civic and political coverage.
"Farmville Herald, The",https://www.farmvilleherald.com/,Farmville,Prince Edward,VA,Boone Newspapers Inc.,Triweekly (print + online),Historic Southside newspaper established 1890owned by Boone since 2015.
Fauquier Now,http://www.fauquiernow.com/,Warrenton,Fauquier,VA,Independent (Owned by publisher Lou Emerson),Daily (digital),Independent local news site founded 2013 covering Fauquier County.
Fauquier Times,https://www.fauquier.com/,Warrenton,Fauquier,VA,Rappahannock Media LLC,Weekly,Part of regional group with *Culpeper Times* and *Prince William Times*.
"Fincastle Herald, The",https://www.fincastleherald.com/,Fincastle,Botetourt,VA,Mountain Media LLC (under Lewisburg News & Sentinel group / WV),Weekly,Community weekly serving Botetourt County; printed by Mountain Media.
"Floyd Press, The",https://swvatoday.com/news/community/floyd/,Floyd,Floyd,VA,Lee Enterprises (SWVAToday network),Weekly,Operates under *SWVAToday.com* along with Smyth County News and The Enterprise Mount Airy.
Fluvanna Review,http://www.fluvannareview.com/,Palmyra,Fluvanna,VA,Independent (Fluvanna Review Inc.),Biweekly,Locally owned independent publication established 2006.
Foothills Forum,https://foothills-forum.org/,Washington,Rappahannock,VA,Nonprofit (Foothills Forum Inc.),Quarterly / Online,Community journalism nonprofit supporting *Rappahannock News* projects.
"Franklin News-Post, The",https://www.thefranklinnewspost.com/,Rocky Mount,Franklin,VA,Lee Enterprises,Triweekly,Lee Enterprises daily/triweekly covering Franklin County and Smith Mountain Lake region.
Fredericksburg Free Press,https://www.fredericksburgfreepress.com/,Fredericksburg,Fredericksburg City,VA,Independent nonprofit (Free Press Fredericksburg Inc.),Weekly (digital + print),Founded 2023; nonprofit newsroom emphasizing civic engagement.
"Free Lance-Star, The",https://www.fredericksburg.com/,Fredericksburg,Fredericksburg City,VA,Lee Enterprises,Daily,Flagship regional daily acquired by Lee in 2015 from Sandton Capital.
"Gazette-Virginian, The",http://www.yourgv.com/,South Boston,Halifax,VA,Boone Newspapers Inc.,Triweekly,Owned by Boone; sister paper to *The Enterprise* in South Boston.
"Gazette, The",https://www.galaxgazette.com/,Galax,Carroll,VA,Adams Publishing Group (APG Media of Southern VA),Weekly,Part of APG’s Southwest Virginia cluster (with *The Declaration* and *The Carroll News*).
Gloucester Main Street,https://gloucestermainstreet.com/,Gloucester,Gloucester,VA,Independent (Gloucester Main Street Association),Monthly (community newsletter),Local business and community association publication not a newspaper of record.
Gloucester-Mathews Gazette-Journal,http://www.gazettejournal.net/,Gloucester,Gloucester,VA,Independent (Gloucester-Mathews Gazette-Journal Inc.),Weekly,Family-owned independent weekly serving Gloucester and Mathews counties since 1935.
"Goochland Gazette, The",https://richmond.com/news/community/goochland-gazette/,Goochland,Goochland,VA,Lee Enterprises,Weekly,Operates under Richmond Times-Dispatch regional group; part of Lee Enterprises network.
"Greene County Record, The",https://dailyprogress.com/news/community/greenenews/,Stanardsville,Greene,VA,Lee Enterprises,Weekly,Companion to *The Daily Progress* (Charlottesville) under Lee’s central VA cluster.
Harrisonburg Citizen,https://hburgcitizen.com/,Harrisonburg,Harrisonburg City,VA,Independent (The Citizen LLC),Online-only (biweekly updates),Nonprofit digital news site founded by former *Daily News-Record* journalists.
Henrico Citizen,https://www.henricocitizen.com/,Henrico,Henrico,VA,Independent (T3 Media LLC / Tom Lappas Publisher),Daily (digital),Independent local online paper founded 2001; nonprofit model since 2020.
Henry County Enterprise,https://henrycountyenterprise.com/,Martinsville,Henry,VA,Boone Newspapers Inc.,Weekly,Sister paper to *Martinsville Bulletin* under Boone’s Martinsville cluster.
Inside Business,https://pilotonline.com/inside-business/,Norfolk,Norfolk,VA,Alden Global Capital (MediaNews Group / Virginian-Pilot Media Companies),Weekly,Business-focused supplement and website operated by The Virginian-Pilot.
Inside NOVA – Prince William,https://www.insidenova.com/news/prince_william/,Woodbridge,Prince William,VA,Rappahannock Media LLC,Daily (digital),Flagship site of the *InsideNoVA* regional group serving Northern Virginia.
"Journal, The",http://www.dnronline.com/lifestyle_and_entertainment/journal/,Harrisonburg,Harrisonburg City,VA,Lee Enterprises,Weekly (insert),Feature and lifestyle supplement of *The Daily News-Record* (Ogden Newspapers).
"Kenbridge-Victoria Dispatch, The",https://www.kenbridgevictoriadispatch.com/category/news/,Kenbridge,Lunenburg,VA,Boone Newspapers Inc.,Weekly,Sister publication to *The Charlotte Gazette* under Boone’s Southside division.
"Lebanon News, The",http://www.thelebanonnews.com/,Lebanon,Russell,VA,Independent (Lebanon News LLC),Weekly,Independent community weekly serving Russell County since 1888.
"Legacy, The",https://www.legacynewspaper.com/,Richmond,Henrico,VA,Independent (The Legacy Newspaper LLC / Shelly Simonds Publisher),Weekly,Richmond-based African American newspaper; member of the National Newspaper Publishers Association.
Liberty Champion,https://www.liberty.edu/champion/,Lynchburg,Lynchburg City,VA,Liberty University School of Communication,Biweekly (academic year),Student-run university publication for Liberty University; online and print editions.
Loudoun Now,http://loudounnow.com/,Leesburg,Loudoun,VA,Independent (Loudoun Now LLC),Weekly (print) / Daily (digital),Locally owned and operated by former *Loudoun Times-Mirror* editors; founded 2016.
Loudoun Times-Mirror,https://www.loudountimes.com/,Leesburg,Loudoun,VA,Ogden Newspapers Inc.,Weekly,Owned by Ogden since 2015; long-running Loudoun County paper of record.
"Madison County Eagle, The",https://dailyprogress.com/news/community/madisonnews/,Madison,Madison,VA,Lee Enterprises,Weekly,Community weekly managed under *The Daily Progress* (Charlottesville) within Lee’s central VA cluster.
Martinsville Bulletin,https://www.martinsvillebulletin.com/,Martinsville,Martinsville City,VA,Boone Newspapers Inc.,Daily,Boone-owned regional daily covering Martinsville and Henry County.
"Mechanicsville-Ashland Local, The",http://www.richmond.com/news/local/hanover/mechanicsville-local/,Mechanicsville,Hanover,VA,Lee Enterprises,Weekly,Part of *Richmond Times-Dispatch* community news group (Lee Enterprises).
"Mecklenburg Sun, The",http://www.sovanow.com/index.php?/mecklenburg/,Clarksville,Mecklenburg,VA,Boone Newspapers Inc.,Weekly,Sister publication to *The News & Record* (South Boston) under Boone’s Southside division.
Middleburg Life,http://middleburglife.com/,Middleburg,Loudoun,VA,Rappahannock Media LLC,Monthly,Upscale lifestyle magazine owned by the Rappahannock Media group (publisher of *Fauquier Times* and *InsideNoVA*).
Mount Vernon Gazette,http://www.mountvernongazette.com/,Alexandria,Fairfax,VA,Local Media Connection LLC (Connection Newspapers),Weekly,Part of the Connection Newspapers group serving Northern Virginia; owned by Mary Kimm.
Mountain Courier,https://www.themountaincourier.com/,Lexington,Rockbridge,VA,Independent (Mountain Courier LLC),Monthly,Lifestyle and community magazine serving the Shenandoah Valley and western Virginia.
Nelson County Times,https://www.newsadvance.com/nelson_county_times/,Lovingston,Nelson,VA,Lee Enterprises,Weekly,Community weekly under *The News & Advance* (Lynchburg) within Lee’s Central Virginia cluster.
"New Castle Record, The",https://www.newcastlerecord.com/,New Castle,Craig,VA,Mountain Media LLC,Weekly,Mountain Media weekly; part of the *Fincastle Herald / Salem Times-Register* group.
"News & Advance, The",https://www.newsadvance.com/,Lynchburg,Lynchburg City,VA,Lee Enterprises,Daily,Regional daily serving Lynchburg and surrounding counties; flagship of Lee’s Central VA group.
"News Leader, The",https://www.newsleader.com/,Staunton,Augusta,VA,Gannett Co. Inc.,Daily,Operated by Gannett within its *USA Today Network*.
"News Virginian, The",https://newsvirginian.com/,Waynesboro,Augusta,VA,Lee Enterprises,Daily,Sister paper to *The Daily Progress* and *The News & Advance* under Lee.
"News-Gazette, The",http://www.news-gazette.com/,Lexington,Rockbridge,VA,Independent (The News-Gazette Corp.),Weekly,Family-owned paper covering Rockbridge County since 1801; independent and locally managed.
"News-Messenger, The",https://montcova.com/,Christiansburg,Montgomery,VA,Mountain Media LLC,Weekly,Owned by Mountain Media; companion to *Radford News Journal*.
North of the James Magazine,https://northofthejames.com/,Richmond,Henrico,VA,Independent (North of the James Publishing),Monthly,Independent lifestyle and community magazine distributed in Greater Richmond.
"Northern Neck News, The",http://www.northernnecknews.com/,Warsaw,Richmond,VA,Independent (Tidewater Newspapers Inc.),Weekly,Part of Tidewater Newspapers group with *Northumberland Echo* and *Westmoreland News*.
Northern Virginia Daily,http://www.nvdaily.com/,Strasburg,Shenandoah,VA,Ogden Newspapers Inc.,Daily,Owned by Ogden Newspapers since 2018; covers Shenandoah Valley and northern Piedmont.
Northumberland Echo,http://www.northumberlandecho.com/,Heathsville,Northumberland,VA,Independent (Tidewater Newspapers Inc.),Weekly,Sister paper to *Northern Neck News* and *Westmoreland News*; independent regional group.
Orange County Review,https://dailyprogress.com/news/community/orangenews/,Orange,Orange,VA,Lee Enterprises,Weekly,Operated under *The Daily Progress* (Charlottesville) in Lee’s Central Virginia cluster.
Page News & Courier,http://www.dnronline.com/page_news_and_courier/,Luray,Page,VA,Ogden Newspapers Inc.,Weekly,Part of Ogden’s Shenandoah Valley group (with *Daily News-Record*).
Page Valley News,https://pagevalleynews.com/,Luray,Page,VA,Independent (Page Valley News LLC),Daily (digital),Independent online-only outlet launched in 2020 by PVN LLC.
"Patriot, The",http://pcpatriot.com/,Pulaski,Pulaski,VA,Mountain Media LLC,Weekly,Sister paper to *The Southwest Times* under Mountain Media.
"Piedmont Journal Recorder, The",https://pjrnews.com/,Amelia,Amelia,VA,Independent (The PJR News LLC),Weekly,"Local independent paper serving Amelia, Nottoway, and surrounding counties."
"Post, The",https://www.bigstonegappost.com/,Big Stone Gap,Wise,VA,Mountain Empire Publishing (owned by Lee Enterprises via *SWVAToday* network),Weekly,Part of *SWVAToday* family under Lee Enterprises.
Powell Valley News,http://powelvalleynews.net/,Pennnington Gap,Lee,VA,Independent (Powell Valley Publishing),Weekly,Independent paper serving Lee County and western Virginia.
Powhatan Today,https://richmond.com/news/community/powhatan-today/,Powhatan,Powhatan,VA,Lee Enterprises,Weekly,Community paper under *Richmond Times-Dispatch*’s Lee Enterprises cluster.
Prince William Times,https://www.princewilliamtimes.com/,Warrenton,Prince William,VA,Rappahannock Media LLC,Weekly,Part of the Rappahannock Media group with *Fauquier Times* and *InsideNoVA.com*.
"Princess Anne Independent News, The",http://princessanneindy.com/,Virginia Beach,Virginia Beach City,VA,Independent (Reed & Associates / Ed Power Publisher),Weekly,Independent hyperlocal paper covering Virginia Beach and the Eastern Shore.
"Progress-Index, The",http://www.progress-index.com/,Petersburg,Petersburg City,VA,Gannett Co. Inc.,Daily,"Part of the *USA Today Network*; covers Petersburg, Hopewell, and Colonial Heights."
Radford News Journal,https://radfordnewsjournal.com/,Radford,Radford City,VA,Mountain Media LLC,Weekly,Sister publication to *The News-Messenger*; Mountain Media group.
Rappahannock News,https://rappnews.com/,Washington,Rappahannock,VA,Rappahannock Media LLC,Weekly,Community weekly published by Rappahannock Media (also publishes *Prince William Times*).
Rappahannock Record,http://rrecord.com/,Kilmarnock,Lancaster,VA,Independent (Rappahannock Record Inc.),Weekly,Family-owned since 1916; independent community newspaper for the Northern Neck.
Rappahannock Times,https://www.rapptimes.news/,Tappahannock,Essex,VA,Independent (Rappahannock Times Inc.),Weekly,Independent paper serving Essex and Northern Neck area.
"Recorder, The",https://www.therecorderonline.com/,Monterey,Highland,VA,Independent (The Recorder LLC),Weekly,Independent weekly serving Highland and Bath counties; founded 1877.
Richmond Free Press,http://richmondfreepress.com/,Richmond,Richmond City,VA,Independent (Free Press Media Group),Weekly,African American-owned paper founded by Raymond H. Boone Sr.; influential in Richmond civic coverage.
Richmond Magazine,http://richmondmagazine.com/,Richmond,Richmond City,VA,Independent (Richmond Media Group),Monthly,"Independent lifestyle magazine focusing on culture, food, and regional issues in Greater Richmond."
Richmond Times-Dispatch,http://www.richmond.com/,Richmond,Richmond City,VA,Lee Enterprises,Daily,Flagship daily for central Virginia; owned by Lee Enterprises.
"Richmonder, The",https://www.richmonder.org/,Richmond,Richmond City,VA,Independent (Nonprofit / Civic Journalism Initiative),Digital,Nonprofit civic news outlet launched in 2024; independent digital-only publication.
"Rivah Visitor’s Guide, The",https://www.rivahguide.com/,Kilmarnock,Lancaster,VA,Independent (Rappahannock Record Inc.),Monthly,Seasonal magazine jointly published by *Rappahannock Record* and *Southside Sentinel*; tourism-focused.
"Roanoke Times, The",http://www.roanoke.com/,Roanoke,Roanoke City,VA,Lee Enterprises,Daily,Major regional daily owned by Lee Enterprises; covers southwest and western Virginia.
"Rockbridge Advocate, The",http://rockbridgeadvocate.com/,Lexington,Rockbridge,VA,Independent (Tom Camden & Bill McGowan Publishers),Monthly,"Independent local journal emphasizing commentary, arts, and civic issues."
"Rotunda, The",http://www.therotundaonline.com/,Farmville,Prince Edward,VA,Independent (Longwood University Student Media),Weekly (during semesters),Student-run publication of Longwood University; editorially independent.
Royal Examiner,https://royalexaminer.com/,Front Royal,Warren,VA,Independent (National Media Services Inc.),Daily (digital),Independent local online news outlet covering Front Royal and Warren County.
Salem Times-Register,https://salemtimes-register.com/,Salem,Salem City,VA,Mountain Media LLC,Weekly,Part of Mountain Media’s regional group (includes *New Castle Record* and *Fincastle Herald*).
Scott County Virginia Star,http://www.virginiastar.net/,Gate City,Scott,VA,Independent (Scott County Publishing),Weekly,Independent community newspaper serving Scott County and the Tri-Cities region.
Smith Mountain Eagle,http://www.smithmountaineagle.com/,Wirtz,Franklin,VA,Independent (Eagle Publishing LLC),Weekly,Independent weekly covering the Smith Mountain Lake region; locally owned.
"Smithfield Times, The",https://www.smithfieldtimes.com/,Smithfield,Isle of Wight,VA,Independent (Times Publishing Company),Weekly,Family-owned community paper since 1920; independent publisher.
Smyth County News & Messenger,https://swvatoday.com/news/community/smyth-county/,Marion,Smyth,VA,Lee Enterprises,Weekly,Part of Lee’s *SWVAToday* network of regional community papers.
Southside Sentinel,http://www.ssentinel.com/,Urbanna,Middlesex,VA,Independent (Rappahannock Record Inc.),Weekly,Sister paper to *Rappahannock Record*; serves the Middle Peninsula.
"Southwest Times, The",https://www.southwesttimes.com/,Pulaski,Pulaski,VA,Mountain Media LLC,Weekly,Operated by Mountain Media; long-running paper covering Pulaski County.
"Star-Tribune, The",http://www.chathamstartribune.com/,Chatham,Pittsylvania,VA,Independent (Star-Tribune Publishing Co.),Weekly,Independent local publisher serving Chatham and Pittsylvania County.
Suffolk Living,https://www.suffolknewsherald.com/category/suffolk-living/,Suffolk,Suffolk City,VA,Boone Newspapers Inc.,Monthly,"Lifestyle magazine companion to *Suffolk News-Herald*, published by Boone."
Suffolk News-Herald,https://www.suffolknewsherald.com/,Suffolk,Suffolk City,VA,Boone Newspapers Inc.,Daily (digital) / Weekly (print),Community newspaper owned by Boone Newspapers.
Sussex-Surry Dispatch,http://www.thesussexsurrydispatch.com/,Waverly,Sussex,VA,Independent (The Sussex-Surry Dispatch Inc.),Weekly,Independent regional weekly serving Sussex and Surry counties.
SWVAsun,https://swvasun.com/,Wytheville,Wythe,VA,Independent (SWVA Sun LLC),Weekly,"Independent digital and print weekly launched post-2020; covers Wythe, Carroll, and Grayson counties."
"Tidewater News, The",https://www.thetidewaternews.com/,Franklin,Franklin City,VA,Boone Newspapers Inc.,Twice Weekly,"Community paper serving Franklin, Southampton, and Isle of Wight counties; part of Boone group."
Tidewater Review,http://www.dailypress.com/tidewater-review/,West Point,King William,VA,Lee Enterprises,Weekly,Published by *Daily Press* under Lee Enterprises; serves the Middle Peninsula.
"Vinton Messenger, The",https://www.vintonmessenger.com/,Vinton,Roanoke,VA,Mountain Media LLC,Weekly,Operated by Mountain Media alongside *Salem Times-Register* and *Fincastle Herald*.
Virginia Business,http://www.virginiabusiness.com/,Richmond,Richmond City,VA,Virginia Business Publications LLC,Monthly,Statewide business magazine established in 1986; independently owned.
"Virginia Gazette, The",http://www.vagazette.com/,Williamsburg,James City,VA,Lee Enterprises,Twice Weekly,"Historic paper (founded 1736) under Lee Enterprises, formerly Tribune Publishing."
Virginia Lawyers Weekly,https://valawyersweekly.com/,Richmond,Richmond City,VA,BridgeTower Media (GateHouse/Gannett subsidiary),Weekly,Specialized legal and business publication owned by BridgeTower Media.
Virginia Mercury,https://www.virginiamercury.com/,Richmond,Richmond City,VA,States Newsroom (Nonprofit),Daily (digital),Nonprofit statewide newsroom focused on politics and policy; part of the States Newsroom network.
"Virginia Mountaineer, The",https://www.virginiamountaineer.com/,Grundy,Buchanan,VA,Independent (Mountaineer Publishing Co.),Weekly,Independent family-owned newspaper serving Buchanan County.
Virginia Scope Media,https://www.virginiascope.com/,Chesterfield,Chesterfield,VA,Independent (Brandon Jarvis Media),Digital Daily,Independent digital political news outlet founded by journalist Brandon Jarvis.
Virginia Tech School of Communication,https://liberalarts.vt.edu/departments-and-schools/school-of-communication.html,Blacksburg,Montgomery,VA,Virginia Tech University,Academic N/A,University department housing *Collegiate Times* and broadcast training programs.
Virginian Leader,https://www.virginianleader.com/,Pearisburg,Giles,VA,Independent (Giles County Publishing),Weekly,Independent community paper serving Giles County and the New River Valley.
Virginian Review,https://virginianreview.com/,Clifton Forge,Alleghany,VA,Independent (Virginian Review Media LLC),Tri-Weekly,Local independent paper serving Alleghany Highlands and Clifton Forge area.
"Virginian-Pilot, The",https://pilotonline.com/,Norfolk,Norfolk City,VA,Lee Enterprises,Daily,Major Hampton Roads daily formerly of Tribune Publishing; flagship under Lee Enterprises.
"Voice, The",,Virginia Beach,Virginia Beach City,VA,Independent (The Voice News Network),Monthly,Community and culture publication for African American readership in Hampton Roads.
"Warren County Report, The",https://wcrnews.wordpress.com/,Front Royal,Warren,VA,Independent (Rappahannock Media LLC),Biweekly,Community news publication under Rappahannock Media ownership.
Washington Business Journal,https://www.bizjournals.com/washington/,Arlington,Arlington,VA,American City Business Journals (Advance Publications),Weekly,Business-focused journal covering the D.C. metro region.
"Washington Post, The",https://www.washingtonpost.com/,Washington,Arlington (Metro coverage),VA,Amazon / Nash Holdings (Jeff Bezos),Daily,National paper headquartered in D.C. with major Virginia newsroom operations.
"Washington Times, The",https://www.washingtontimes.com/,Washington,Fairfax (Metro coverage),VA,Unification Church / News World Communications,Daily,Conservative-leaning national and regional daily.
"Weekly Ringer, The",https://theweeklyringer.com/,Fredericksburg,Fredericksburg City,VA,Independent (University of Mary Washington Student Media),Weekly (academic),Student-run paper for University of Mary Washington.
Westmoreland News,http://www.westmorelandnews.net/,Montross,Westmoreland,VA,Independent (Tidewater News & Press Group),Weekly,Independent local paper serving the Northern Neck region.
"Winchester Star, The",http://www.winchesterstar.com/,Winchester,Frederick,VA,Ogden Newspapers Inc.,Daily,Long-established daily serving the Shenandoah Valley; owned by Ogden.
Wytheville Enterprise,https://swvatoday.com/news/community/wytheville/,Wytheville,Wythe,VA,Lee Enterprises,Weekly,Part of Lee’s *SWVAToday* network of community newspapers.