Paper ID,Paper Name,City,State,Website URL,Phone,Mailing Address,County,Chain Owner,CMS Platform,CMS Vendor,Has PDF Edition?,PDF-Only?,Paywall?,Free Public Notices?,Mobile Responsive?,Audit Sources,Audit Notes,Latest Audit Timestamp,Extra Data
1359,Bluefield Daily Telegraph,Bluefield,WV,https://www.bdtonline.com,,PO Box 928,Mercer,CNHI (Community Newspaper Holdings Inc.),BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /e-edition, http://prerogativemagazine.cnhi.newsmemory.com/, https://niagara-gazette-cnhi.newsmemory.com/?special=Explore | Homepage contains article-style link(s): https://visitor.r20.constantcontact.com/d.jsp?llr=zzoml49ab&p=oi&m=1128481045305&sit=iq8vgcwlb&f=1b0d492b-7e38-4613-9164-919f39ec6021, https://niagara-gazette-cnhi.newsmemory.com/?special=Explore, /news/ | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms | Homepage snapshot truncated to 500,000 characters | Overrides applied: chain_owner",2025-12-11T15:57:25.197932,"{""Frequency"": ""Daily""}"
1440,HNG News,Huntington,WV,https://www.hngnews.com/,,,Wayne,Independent,BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/bridal-2025/edition_a1f77eca-828e-5632-a6ee-e9248a552196.html, /eedition/healthy-lifestyles-february-2025/edition_f294c5f4-9b5a-558e-b5bc-82cb585018e0.html, /eedition/healthy-lifestyles-january-2025/edition_d3e529b4-b59d-519d-83c0-caf8bcf1b9d8.html | Homepage contains article-style link(s): https://cambridgenews-wi.newsmemory.com/, https://www.hngnews.com/newsletters/, https://new.evvnt.com/?with_navbar&force_snap_sell&partner=HNGNEWS&publisher_url:hngnews.com#/quick | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms",2025-12-11T15:58:59.111259,{}
2025,Legal Newsline / West Virginia Record (legal news network),Charleston,WV,https://www.legalnewsline.com/west-virginia-record/,,,Kanawha,Independent,BLOX Digital,BLOX,No,No,Yes,No,Yes,Homepage+RSS,"Homepage contains article-style link(s): /newsletter/, https://www.facebook.com/pages/Legal-Newsline/299588323424419, http://twitter.com/legalnewsline | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | No notices found | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms",2025-12-11T15:59:07.248636,{}
2044,Star City TV (broadcast network; not newspaper),Morgantown,WV,https://www.starcitytv.com/,,,Monongalia,Independent,BLOX Digital,BLOX,No,No,No,No,Yes,Homepage+RSS+Sitemap,"Homepage contains article-style link(s): /news, /news/local, /news/national | Homepage contains article-style content | RSS present but contains no entries | No paywall signals found | No notices found | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms",2025-12-11T16:01:43.137184,{}
2076,West Virginia News (Clarksburg Exponent Telegram group),Clarksburg,WV,https://www.wvtnews.com/,,,Harrison,Independent,BLOX Digital,BLOX,No,No,Yes,No,Yes,Homepage+RSS+Sitemap,"Homepage contains article-style link(s): https://www.wvtnews.com/users/signup/?referer_url=https%3A%2F%2Fwww.wvtnews.com%2F, https://www.wvtnews.com/users/login/?referer_url=https%3A%2F%2Fwww.wvtnews.com%2F, https://www.wvtnews.com/users/admin/ | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | No notices found | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms",2025-12-11T16:08:00.816988,{}
2306,Spencer Times Record,Spencer,WV,https://www.thetimesrecord.net/,,,Roane,Independent,BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage,"Homepage contains e-edition style link(s): /eedition/, /newsfeed/us/time-magazine-names-architects-of-ai-as-its-person-of-the-year-for-2025/article_7aaba78f-3182-512c-b867-0b688262e9a1.html, /spencernews/eedition/ | Homepage contains article-style link(s): /newsletters/, /, /bluegoldnews/ | Homepage contains article-style content | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews | Detected vendor indicators (BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters",2025-12-11T16:01:32.743732,{}
3155,The Oracle and Leader,West Union,WV,https://www.oracleandleader.com/,,,Doddridge,Independent,WordPress,Websites For Newspapers,Yes,No,Yes,No,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://2202.newstogo.us/editionviewer/default.aspx?Publication=a82fc50d-794c-4b52-a545-9687c0b08485 | Homepage contains article-style link(s): https://2202.newstogo.us/editionviewer/default.aspx?Publication=a82fc50d-794c-4b52-a545-9687c0b08485, https://2202.newstogo.us/editionviewer/default.aspx?Publication=a82fc50d-794c-4b52-a545-9687c0b08485&view=subscribe, https://2202.newstogo.us/editionviewer/default.aspx?Publication=a82fc50d-794c-4b52-a545-9687c0b08485&view=archives | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | No notices found | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wp-json | Detected vendor indicators (Websites For Newspapers): websitesfornewspapers",2025-12-11T16:05:14.383743,{}
3211,Ritchie County News,Pennsboro,WV,https://www.ritchiecountynews.com/,,,Ritchie,Independent,WordPress,Websites For Newspapers,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://2213.newstogo.us/editionviewer/default.aspx?Publication=9d0b36e2-7e68-472a-a5d1-b9aaa741c288 | Homepage contains article-style link(s): https://www.ritchiecountynews.com/contact-us/, https://2213.newstogo.us/editionviewer/default.aspx?Publication=9d0b36e2-7e68-472a-a5d1-b9aaa741c288, https://2213.newstogo.us/editionviewer/default.aspx?Publication=9d0b36e2-7e68-472a-a5d1-b9aaa741c288&view=subscribe | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wp-json | Detected vendor indicators (Websites For Newspapers): websitesfornewspapers",2025-12-11T16:00:00.950305,{}
3235,Wirt County Journal,Elizabeth,WV,https://www.wirtjournal.com,,PO Box 309,Wirt,Independent,WordPress,Websites For Newspapers,Yes,Yes,Yes,No,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://1821.newstogo.us/editionviewer/default.aspx?Publication=02f8db82-805c-4340-8d86-2940081fb9c4 | Homepage contains article-style link(s): https://1821.newstogo.us/editionviewer/default.aspx?Publication=02f8db82-805c-4340-8d86-2940081fb9c4, https://1821.newstogo.us/editionviewer/default.aspx?Publication=02f8db82-805c-4340-8d86-2940081fb9c4&view=subscribe, https://1821.newstogo.us/editionviewer/default.aspx?Publication=02f8db82-805c-4340-8d86-2940081fb9c4&view=archives | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | No notices found | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wp-json | Detected vendor indicators (Websites For Newspapers): websitesfornewspapers | Overrides applied: chain_owner, pdf_only",2025-12-11T16:19:18.449658,"{""Frequency"": ""Wednesday""}"
3242,Brooke County Review,Wellsburg,WV,https://brookecountyreview.com/,,,Brooke,Independent,WordPress,Websites For Newspapers,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): #, http://1979.newstogo.us/editionviewer/default.aspx?Publication=92041853-6808-4ed6-b7a1-afee094135f6, http://1979.newstogo.us/editionviewer/default.aspx?Publication=92041853-6808-4ed6-b7a1-afee094135f6&view=archives | Homepage contains article-style link(s): https://www.bensoncountynews.com/contact-us/, https://www.bensoncountynews.com/contact-us-lakota-american/, http://1979.newstogo.us/editionviewer/default.aspx?Publication=92041853-6808-4ed6-b7a1-afee094135f6 | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wp-json | Detected vendor indicators (Websites For Newspapers): websitesfornewspapers",2025-12-11T15:58:11.048235,{}
4509,Spirit Of Jefferson,Charles Town,WV,http://www.spiritofjefferson.com/,,,Jefferson,Independent,BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/edition_50042bd2-7a35-5803-897e-c6a3512c0333.html, https://www.spiritofjefferson.com/eedition/ | Homepage contains article-style link(s): https://www.spiritofjefferson.com/news/local/, https://www.spiritofjefferson.com/news/state/, https://www.spiritofjefferson.com/sports/ | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms",2025-12-11T16:01:38.048426,{}
4762,The Barbour Democrat,Philippi,WV,https://www.barbourdemocratwv.com,,PO Box 459,Barbour,Independent (Locally owned; family-operated weekly),Manual Review,Manual Review,No,Manual Review,No,No,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: HTTPSConnectionPool(host='www.barbourdemocratwv.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)'))) | Overrides applied: chain_owner",2025-12-11T16:02:01.201221,"{""Frequency"": ""Wednesday""}"
4763,Braxton Citizens News,Sutton,WV,https://www.bcn-news.com,,501 Main St.,Braxton,Independent (Braxton Newspapers Inc.),WordPress,Manual Review,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): #, https://www.bcn-news.com/braxton-citizens-news-e-edition/, https://www.bcn-news.com/braxton-democrat-e-edition/ | Homepage contains article-style link(s): https://www.bcn-news.com/category/government/, https://www.bcn-news.com/category/schools/, https://www.bcn-news.com/category/opinion/ | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wordpress, wp-json | Overrides applied: chain_owner",2025-12-11T15:57:58.602698,"{""Frequency"": ""Tuesday""}"
4764,Braxton Democrat Central,Sutton,WV,N/A,,PO Box 427,Braxton,Independent (Merged historically with Citizens News; same publisher),Manual Review,Manual Review,No,Manual Review,No,No,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: HTTPSConnectionPool(host='n', port=443): Max retries exceeded with url: /A (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x110c7ead0>: Failed to resolve 'n' ([Errno 8] nodename nor servname provided, or not known)"")) | Overrides applied: chain_owner",2025-12-11T15:58:00.665484,"{""Frequency"": ""Friday""}"
4765,The Brooke County Review,Wellsburg,WV,https://www.brookecountyreview.com,,319 Charles St.,Brooke,Independent (Brooke County Publishing),WordPress,Websites For Newspapers,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): #, http://1979.newstogo.us/editionviewer/default.aspx?Publication=92041853-6808-4ed6-b7a1-afee094135f6, http://1979.newstogo.us/editionviewer/default.aspx?Publication=92041853-6808-4ed6-b7a1-afee094135f6&view=archives | Homepage contains article-style link(s): https://www.bensoncountynews.com/contact-us/, https://www.bensoncountynews.com/contact-us-lakota-american/, http://1979.newstogo.us/editionviewer/default.aspx?Publication=92041853-6808-4ed6-b7a1-afee094135f6 | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wp-json | Detected vendor indicators (Websites For Newspapers): websitesfornewspapers | Overrides applied: chain_owner",2025-12-11T16:02:11.343481,"{""Frequency"": ""Friday""}"
4766,Calhoun Chronicle,Grantsville,WV,https://www.calhounchronicle.com,,PO Box 400,Calhoun,Independent (Calhoun Publishing Co.),WordPress,Manual Review,No,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains article-style link(s): https://mountainmedianews.com, https://calhounchronicle.com/submit-news/ | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wordpress, wp-json | Overrides applied: chain_owner",2025-12-11T15:58:21.509910,"{""Frequency"": ""Thursday""}"
4767,The Charleston Gazette-Mail,Charleston,WV,https://www.wvgazettemail.com,,1001 Virginia St. E,Kanawha,HD Media Group (Charleston Newspapers / Herald-Dispatch ownership),BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/ | Homepage contains article-style link(s): /multimedia/video_gallery/, /news/, /newscast/ | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms | Overrides applied: chain_owner",2025-12-11T16:02:16.593464,"{""Frequency"": ""Daily""}"
4768,The Exponent Telegram,Clarksburg,WV,https://www.theet.com,,324 Hewes Ave.,Harrison,WV News (NCWV Media / West Virginia News Company),BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage,"Homepage contains e-edition style link(s): /eedition/, /newsfeed/us/time-magazine-names-architects-of-ai-as-its-person-of-the-year-for-2025/article_7aaba78f-3182-512c-b867-0b688262e9a1.html, /theet/eedition | Homepage contains article-style link(s): /newsletters/, /, /bluegoldnews/ | Homepage contains article-style content | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms | Homepage snapshot truncated to 500,000 characters | Overrides applied: chain_owner",2025-12-11T16:02:59.788182,"{""Frequency"": ""Daily""}"
4769,The Clay County Free Press,Clay,WV,https://www.claycountyfreepress.com,,PO Box 180,Clay,Independent (Clay Communications / local ownership),WordPress,Manual Review,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://claycountyfreepress.com/category/cc-e-edition/ | Homepage contains article-style link(s): https://mountainmedianews.com, https://mountainmedianews.com/mm/national/, https://mountainmedianews.com/mm/west-virginia/ | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wordpress, wp-json | Overrides applied: chain_owner",2025-12-11T16:02:28.433232,"{""Frequency"": ""Wednesday""}"
4770,Coal Valley News,Madison,WV,https://www.coalvalleynews.com,,PO Box 508,Boone,HD Media Group (Boone Newspapers cluster),BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/, /eedition/coal-valley-news/edition_b4553da9-cb24-58a5-aa26-6ea4e8e320b9.html | Homepage contains article-style link(s): https://heralddispatch.newzware.com/ss70v2/huntin02/common/template.jsp?nwmodule=sso&init=nonsub&nwpage=sso&rpage=https%3A%2F%2Fwww.coalvalleynews.com%2Ftncms%2Fauth%2Fbegin%2F%3Fprovider%3DNewzware%26return%3Dhttps%253A%252F%252Fwww.coalvalleynews.com%252F, https://www.coalvalleynews.com/users/login/?referer_url=https%3A%2F%2Fwww.coalvalleynews.com%2F, https://www.coalvalleynews.com/users/admin/ | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms | Overrides applied: chain_owner",2025-12-11T15:58:25.960098,"{""Frequency"": ""Wednesday""}"
4771,Daily Athenaeum,Morgantown,WV,https://www.thedaonline.com,,284 Prospect St,Monongalia,West Virginia University (Student Media; Independent university-owned),BLOX Digital,BLOX,Yes,No,Yes,No,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition, /eedition/, /eedition/the-daily-athenaeum/edition_75f18c2f-bbd6-575c-a36b-4568157e106e.html | Homepage contains article-style link(s): /news, /news/university, /news/wvucuts | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | No notices found | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews | Detected vendor indicators (BLOX): tncms, bloximages, townnews | Overrides applied: chain_owner",2025-12-11T15:58:31.518287,"{""Frequency"": ""Daily""}"
4772,Doddridge Independent,West Union,WV,https://www.thedoddridgeindependent.com,,200 East Main Street,Doddridge,Independent (Locally owned; Doddridge Publishing),Manual Review,Manual Review,No,Manual Review,No,No,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: HTTPSConnectionPool(host='www.thedoddridgeindependent.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)'))) | Overrides applied: chain_owner",2025-12-11T15:58:39.116482,"{""Frequency"": ""Weekly""}"
4773,The Dominion Post,Morgantown,WV,https://www.dominionpost.com,,1251 Earl L. Core Rd,Monongalia,Independent (Dominion Post Inc.; locally owned by Jack Rossi family),WordPress,Manual Review,Yes,No,Yes,Yes,Yes,Homepage+RSS,"Homepage contains e-edition style link(s): https://www.dominionpost.com/2019/10/01/e-edition/ | Homepage contains article-style link(s): https://www.dominionpost.com/submit-breaking-news-tip/, https://www.dominionpost.com/submit-news-article/, https://www.dominionpost.com/submit-sports-article/ | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wordpress, wp-json | Overrides applied: chain_owner",2025-12-11T16:02:55.597317,"{""Frequency"": ""Daily""}"
4774,The Fayette Tribune,Oak Hill,WV,https://www.fayettetribune.com,,PO Box 139,Fayette,HD Media Group (formerly CNHI; part of HD’s southern WV cluster),BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://niagara-gazette-cnhi.newsmemory.com/?special=Explore | Homepage contains article-style link(s): /news, /news/lifestyles/, /site/submit_news | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms | Overrides applied: chain_owner",2025-12-11T16:03:05.436146,"{""Frequency"": ""Monday &amp; Thursday""}"
4775,Gilbert Times,Gilbert,WV,https://www.gilberttimes.net,,PO Box 1135,Mingo,HD Media Group (same ownership as Logan Banner and Williamson Daily News),WordPress,Manual Review,No,No,No,No,Yes,Homepage+RSS+Sitemap,"Homepage contains article-style link(s): /section/news, /section/features, https://esports-canada.com/bet-on-esports-canada.html | Homepage contains article-style content | RSS present but contains no entries | No paywall signals found | No notices found | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wordpress, wp-json | Overrides applied: chain_owner",2025-12-11T15:58:47.561135,"{""Frequency"": ""Tuesday""}"
4776,The Glenville Democrat,Glenville,WV,https://www.glenvillenews.com,,PO Box 458,Gilmer,Independent (Glenville Newspapers Inc.),WordPress,Manual Review,No,No,Yes,Yes,Yes,Homepage+RSS,"Homepage contains article-style link(s): https://www.glenvillenews.com/, https://www.glenvillenews.com/about, https://www.glenvillenews.com/authors | Homepage contains article-style content | RSS present (indicates article content) | RSS feed contains paywall hints | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes | Overrides applied: chain_owner",2025-12-11T16:03:08.953702,"{""Frequency"": ""Thursday""}"
